,brand,model,submodel,year,location,price,gearbox,operations,body,gas,color,insidecolor
841,هیوندای,سانتافه,4 سیلندر دو دیفرانسیل,1395,کرج ,3050.0,1,50000,بدون رنگ,بنزینی,سفید صدفی,داخل مشکی
842,هیوندای,سانتافه,4 سیلندر دو دیفرانسیل,1394,تهران ,2500.0,1,125000,یک لکه رنگ,بنزینی,سفید,داخل خاکستری
843,رنو,مگان (مونتاژ),2000,1391,بندرانزلی,580.0,1,170000,گلگیر رنگ,بنزینی,سفید,داخل کرم
844,نیسان,ایکس تریل,اتوماتیک,1396,تهران ,3100.0,1,155000,یک لکه رنگ,بنزینی,سفید صدفی,داخل مشکی
845,رنو,تندر وانت,دنده ای,1395,ری ,,0,196000,یک لکه رنگ,بنزینی,سفید,داخل مشکی
846,جک,S3,اتوماتیک,1402,اردکان,945.0,1,0,بدون رنگ,بنزینی,سفید,داخل مشکی
847,هیوندای,سوناتا,چهار سیلندر اتوماتیک,1396,تهران ,,1,0,بدون رنگ,بنزینی,سفید,داخل مشکی
848,فیدلیتی,پرایم,پنج نفره,1400,تهران ,,1,,گلگیر رنگ,بنزینی,مشکی,داخل مشکی
849,کیا,ریو سدان,اتوماتیک,1394,تهران ,,1,84000,بدون رنگ,بنزینی,سفید,داخل مشکی
850,دی اس,5,اتوماتیک,1397,تهران ,,1,,گلگیر رنگ,بنزینی,بادمجانی,داخل مارون
851,پژو,405,GLX بنزینی,1390,رشت ,255.0,0,311620,بدون رنگ,بنزینی,نقره ای,داخل کرم
852,پژو,206,تیپ 3 پانوراما,1401,تهران ,485.0,0,31000,بدون رنگ,بنزینی,آبی,داخل مشکی
853,رانا,پلاس,دنده ای,1402,تهران ,,0,0,بدون رنگ,بنزینی,خاکستری,داخل مشکی
854,فونیکس,آریزو 6 پرو,اتوماتیک,1402,تهران ,,1,1500,بدون رنگ,بنزینی,مشکی,داخل مشکی
855,فونیکس,FX,پریمیوم,1402,تهران ,,1,1300,بدون رنگ,بنزینی,خاکستری,داخل مشکی
856,کیا,پیکانتو,اتوماتیک,1395,تهران ,,1,0,بدون رنگ,بنزینی,آبی,داخل مشکی
857,بنز,کلاس E,E250,1393,تهران ,,1,,کاپوت رنگ,بنزینی,قهوه ای,داخل مارون
858,پژو,206,تیپ 2,1387,تهران ,,0,244000,دور رنگ,بنزینی,خاکستری,داخل مشکی
859,آمیکو,دو کابین آسنا,دنده ای ساده,1400,تهران ,,0,40000,بدون رنگ,دوگانه سوز,خاکی,داخل مشکی
860,پژو,207,دنده ای,1397,تهران ,,0,98000,درب تعویض,بنزینی,سفید,داخل مشکی
861,جک,S5,2.0 لیتر دنده ای,1397,تهران ,,0,100000,بدون رنگ,بنزینی,سفید,داخل مشکی
862,جک,S5,2.0 لیتر اتوماتیک,1395,تهران ,910.0,1,84000,بدون رنگ,بنزینی,سفید,داخل مشکی
863,هایما,S7,1.8 لیتر توربو پلاس,1402,تهران ,1335.0,1,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
864,نیسان,ایکس تریل,اتوماتیک,1396,تهران ,3100.0,1,95000,بدون رنگ,بنزینی,سفید,داخل مشکی
865,کیا,اسپورتیج,6 سیلندر,1389,تهران ,1100.0,1,220000,دو لکه رنگ,بنزینی,مشکی,داخل مشکی
866,کیا,اسپورتیج,4 سیلندر GT لاین,1396,رودهن ,3200.0,1,80000,یک درب رنگ,بنزینی,سفید,داخل مشکی
867,پراید,131,SE,1393,ری,198.0,0,172000,صافکاری بدون رنگ,بنزینی,سفید,داخل خاکستری
868,هیوندای,النترا,1.8 لیتر,1393,تهران ,,1,120000,دو لکه رنگ,بنزینی,سفید,داخل مشکی
869,نیسان,ایکس تریل,اتوماتیک,1396,شمیرانات,3350.0,1,86000,بدون رنگ,بنزینی,مشکی,داخل مشکی
870,تیبا,صندوق دار,SX بنزینی,1398,تهران ,275.0,0,55000,صافکاری بدون رنگ,بنزینی,سفید,داخل طوسی
871,ب ام و,X4,28,1396,تهران ,,1,60000,بدون رنگ,بنزینی,سفید,داخل مشکی
872,ب ام و,سری 5 سدان,530i,1396,تهران ,,1,4000,بدون رنگ,بنزینی,سفید,داخل مشکی
873,لکسوس,NX,200 توربو  fsport,1396,تهران ,,1,15000,بدون رنگ,بنزینی,تیتانیوم,داخل مشکی
874,تویوتا,لندکروز چهار در,6 سیلندر 4.0,1391,تهران ,,1,170000,بدون رنگ,بنزینی,سفید,داخل مشکی
875,مزدا,3 نیو صندوق دار,2.0 لیتر تیپ 4,1398,تهران ,,1,12000,بدون رنگ,بنزینی,سربی,داخل مشکی
876,دنا,پلاس,اتوماتیک توربو,1402,تهران ,,1,0,بدون رنگ,بنزینی,سفید,داخل مشکی
877,سمند,سورن,پلاس دوگانه سوز,1402,تهران ,,0,0,بدون رنگ,دوگانه سوز,سفید,داخل مشکی
878,تویوتا,پرادو  چهار در,6 سیلندر آنرود,1389,تهران ,,1,120000,یک لکه رنگ,بنزینی,سفید,داخل کرم
879,کیا,اپتیما,4 سیلندر GT لاین,1395,تهران ,2950.0,1,66000,بدون رنگ,بنزینی,مشکی,داخل مشکی
880,ام وی ام,315هاچ بک,ساده,1392,گنبد کاووس,290.0,0,280000,یک درب رنگ,بنزینی,سفید,داخل کرم
881,پژو,2008,اتوماتیک,1397,تهران ,1480.0,1,64000,بدون رنگ,بنزینی,سفید,داخل مشکی
882,تیبا,هاچ بک,EX,1395,شیراز ,265.0,0,170000,بدون رنگ,بنزینی,آبی,داخل خاکستری
883,تارا,دنده ای V1,دنده ای,1401,بوشهر ,610.0,0,24000,بدون رنگ,بنزینی,نقره ای,داخل مشکی
884,کیا,سراتو (مونتاژ),1.6 لیتر ساده,1394,تبریز,,0,157000,بدون رنگ,بنزینی,سفید,داخل کرم
885,رنو,تندر 90,اتوماتیک,1396,تهران ,685.0,1,32000,بدون رنگ,بنزینی,مشکی,داخل طوسی
886,پژو,206,تیپ 5,1390,تهران ,294.0,0,230000,دو لکه رنگ,بنزینی,سفید,داخل آبی
887,تیبا,هاچ بک,EX,1395,نطنز,255.0,0,74000,گلگیر رنگ,بنزینی,نوک مدادی,داخل مشکی
888,کیا,اسپورتیج,4 سیلندر ساده,1392,تهران ,1800.0,1,165000,بدون رنگ,بنزینی,سفید,داخل مشکی
889,چری,تیگو 7,IE,1402,قم ,1300.0,1,5004,بدون رنگ,بنزینی,مشکی,داخل مارون
890,گریت وال,C30,دنده ای,1391,نجف آباد,330.0,0,140000,گلگیر رنگ,بنزینی,قهوه ای,داخل کرم
891,سوزوکی,کیزاشی,فول,1391,تهران ,1130.0,1,232000,بدون رنگ,بنزینی,قرمز,داخل مشکی
892,کیا,کارنز,اتوماتیک,1394,کرج ,1420.0,1,184000,بدون رنگ,بنزینی,سفید,داخل مشکی
893,ساینا,EX دنده ای,دنده ای,1399,اصفهان ,310.0,0,15000,بدون رنگ,بنزینی,سفید,داخل مشکی
894,پژو,405,SLX,1396,سمیرم,402.0,0,117000,بدون رنگ,بنزینی,سفید,داخل کرم
895,ب ام و,سری i,i8,1395,تهران ,,1,20000,بدون رنگ,هیبریدی,سفید,داخل مشکی
896,پورشه,پانامرا,4S,1391,تهران ,,1,85000,بدون رنگ,بنزینی,سفید,داخل شتری
897,لیفان,X60,اتوماتیک,1397,تهران ,,1,64000,بدون رنگ,بنزینی,سفید,داخل مشکی
898,لکسوس,ES,250,1394,تهران ,,1,90000,دو لکه رنگ,بنزینی,سفید,داخل مشکی
899,زامیاد,وانت نیسان,دوگانه سوز,1402,اصفهان ,605.0,0,0,بدون رنگ,دوگانه سوز,آبی,داخل مشکی
900,ب ام و,سری 3 سدان,330i,1397,تهران ,,1,36000,بدون رنگ,بنزینی,سفید,داخل قرمز
901,پژو,207,دنده ای,1399,تهران ,,0,39000,بدون رنگ,بنزینی,سفید,داخل مشکی
902,ب ام و,سری 7,730li,1396,تهران ,,1,30000,بدون رنگ,بنزینی,سفید,داخل تارتوفو
903,تویوتا,پرادو دو در,4 سیلندر,1391,تهران ,,1,121000,بدون رنگ,بنزینی,سفید صدفی,داخل مشکی
904,پژو,206,تیپ 5,1393,تهران ,,0,119000,بدون رنگ,بنزینی,سفید,داخل مشکی
905,پژو,405,GLX دوگانه سوز,1392,کرج ,245.0,0,260000,دو لکه رنگ,دوگانه سوز,خاکستری,داخل کرم
906,پژو,206,تیپ 3 پانوراما,1401,تهران ,485.0,0,8400,بدون رنگ,بنزینی,خاکستری,داخل خاکستری
907,پژو,پارس,XU7,1398,تهران ,415.0,0,84300,بدون رنگ,بنزینی,مشکی,داخل قهوه ای
908,پراید,هاچ بک,دنده ای,1375,تهران ,80.0,0,352000,دور رنگ,بنزینی,سفید,داخل مشکی
909,پژو,206,تیپ 2,1388,تهران ,,0,245000,گلگیر تعویض,بنزینی,مشکی,داخل خاکستری
910,پژو,207,دنده ای,1398,شیراز ,490.0,0,170000,بدون رنگ,بنزینی,سفید,داخل مشکی
911,هیوندای,سانتافه,4 سیلندر دو دیفرانسیل,1396,تهران ,,1,41200,بدون رنگ,بنزینی,سفید صدفی,داخل مشکی
912,پژو,پارس,LX,1402,تهران ,622.0,0,0,بدون رنگ,بنزینی,سفید,داخل مشکی
913,رنو,مگان (مونتاژ),E2-1600,1390,اصفهان ,,0,175000,بدون رنگ,بنزینی,مشکی,داخل مشکی
914,هیوندای,آوانته,اتوماتیک,1391,تهران ,,1,114000,یک لکه رنگ,بنزینی,سفید,داخل طوسی
915,رنو,تالیسمان,E3,1396,شمیرانات,2560.0,1,48000,بدون رنگ,بنزینی,بژ,داخل مشکی
916,پژو,207,دنده ای,1402,تهران ,594.0,0,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
917,رنو,کپچر,اتوماتیک,1395,مشهد ,1150.0,1,75000,گلگیر رنگ,بنزینی,سفید,داخل مشکی
918,هیوندای,ورنا,اتوماتیک,1388,تهران ,,1,240000,چند لکه رنگ,بنزینی,خاکستری,داخل نوک مدادی
919,کیا,اسپورتیج,4 سیلندر ساده,1393,تنکابن,,1,133000,بدون رنگ,بنزینی,مشکی,داخل مشکی
920,تیبا,هاچ بک,پلاس,1399,گرگان,300.0,0,28500,گلگیر رنگ,بنزینی,سفید,داخل مشکی
921,ام وی ام,X33,دنده ای,1391,قزوین ,,0,240000,گلگیر رنگ,بنزینی,سفید,داخل قهوه ای
922,فولکس,تیگوان,اتوماتیک,1397,تهران ,,1,0,بدون رنگ,بنزینی,سرمه ای,داخل مشکی
923,پژو,پارس,دوگانه سوز,1388,تهران ,275.0,0,439000,بدون رنگ,دوگانه سوز,سفید,داخل مشکی
924,رنو,کولیوس,اتوماتیک,1397,تهران ,3750.0,1,50000,بدون رنگ,بنزینی,مشکی,داخل مشکی
925,ام وی ام,530,دنده ای,1395,بندرعباس,270.0,0,170000,صافکاری بدون رنگ,بنزینی,سفید,داخل کرم
926,دنا,پلاس,دنده ای ساده,1398,اراک ,540.0,0,146000,بدون رنگ,بنزینی,سفید,داخل مشکی
927,کیا,اپتیما,4 سیلندر ساده,1394,اصفهان ,,1,110000,بدون رنگ,بنزینی,سفید,داخل مشکی
928,چانگان,CS 35 (مونتاژ),اتوماتیک,1397,تهران ,820.0,1,33400,بدون رنگ,بنزینی,سفید,داخل مشکی
929,سانگ یانگ,تیوولی,الیت,1396,تهران ,,1,80000,بدون رنگ,بنزینی,سرمه ای,داخل مشکی
930,فردا,T5,اتوماتیک,1401,شهرکرد,1350.0,1,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
931,ام وی ام,315هاچ بک,پلاس,1399,کرج ,600.0,1,55000,بدون رنگ,بنزینی,مشکی,داخل نارنجی
932,دنا,معمولی,دنده ای,1398,تهران ,,0,79000,بدون رنگ,بنزینی,سفید,داخل مشکی
933,بنز,کلاس E,E200,1395,مشهد ,6400.0,1,100000,بدون رنگ,بنزینی,قهوه ای,داخل مشکی
934,زامیاد,وانت نیسان,دوگانه سوز,1379,کاشمر,,0,300000,دور رنگ,دوگانه سوز,آبی,داخل مشکی
935,کوییک,دنده ای R,دنده ای,1399,تهران ,,0,47000,بدون رنگ,بنزینی,سفید,داخل مشکی
936,پراید,132,ساده,1386,تهران ,138.0,0,235000,دور رنگ,بنزینی,نقره ای,داخل مشکی
937,کوییک,دنده ای R,دنده ای,1399,تهران ,,0,12000,بدون رنگ,بنزینی,مشکی,داخل مشکی
938,هیوندای,سوناتا هیبرید,تیپ 3 (GLS Plus),1396,تهران ,,1,67000,بدون رنگ,هیبریدی,سفید,داخل آبی
939,کوییک,SR,دنده ای,1402,اهواز ,359.0,0,0,بدون رنگ,بنزینی,سفید,داخل مشکی
940,مزدا,وانت (وارداتی),دنده ای,1387,تهران ,,0,188000,دور رنگ,بنزینی,نقرآبی,داخل طوسی
941,نیسان,پیکاپ دو کابین,دنده ای,1388,تهران ,,0,175000,بدون رنگ,بنزینی,سفید,داخل مشکی
942,تویوتا,اف جی کروز,اتوماتیک,1392,تهران ,,1,120000,بدون رنگ,بنزینی,نارنجی,داخل نارنجی
943,پراید,141,ساده,1385,مشهد ,,0,300000,کامل رنگ,دوگانه سوز,نقره ای,داخل مشکی
944,زوتی,آریو,1.6 لیتر دنده ای,1397,کرج,560.0,0,100000,بدون رنگ,بنزینی,سفید,داخل مشکی
945,چری,تیگو 7,IE,1399,شیراز ,,1,64000,بدون رنگ,بنزینی,سفید,داخل قهوه ای
946,هیوندای,سوناتا,شش سیلندر اتوماتیک,1386,تهران ,888.0,1,290000,چند لکه رنگ,بنزینی,سفید,داخل کرم
947,بنز,کلاس SL,SL500,1388,تهران ,6000.0,1,110000,یک لکه رنگ,بنزینی,خاکستری,داخل مشکی
948,هیوندای,آزرا (گرنجور),4 سیلندر,1398,تهران ,,1,40000,بدون رنگ,بنزینی,مشکی,داخل مشکی
949,جک,S5,1.5 لیتر اتوماتیک,1401,تهران ,1270.0,1,19000,بدون رنگ,بنزینی,سفید,داخل مشکی
950,پراید,صندوق دار,دنده ای,1383,تهران ,,0,42000,دور رنگ,دوگانه سوز,سفید,داخل مشکی
951,کی ام سی,J7,اتوماتیک,1402,تهران ,1435.0,1,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
952,چری,تیگو 5,اکسلنت,1395,لواسان,,1,105000,بدون رنگ,بنزینی,مشکی,داخل مشکی
953,هایما,S5,6 سرعته اتوماتیک,1402,ارومیه ,1180.0,1,6000,بدون رنگ,بنزینی,سفید,داخل مشکی
954,رنو,پارس تندر,دنده ای,1396,تهران ,,0,,چند لکه رنگ,بنزینی,سفید,داخل خاکستری
955,هیوندای,i20,اتوماتیک,1394,تهران ,1080.0,1,110000,بدون رنگ,بنزینی,مشکی,داخل مشکی
956,لیفان,X50,اتوماتیک,1395,تهران ,410.0,1,136000,بدون رنگ,بنزینی,نوک مدادی,داخل مشکی
957,چری,تیگو 5,IE,1399,کرج ,980.0,1,85000,یک لکه رنگ,بنزینی,مشکی,داخل قهوه ای
958,میتسوبیشی,پاجرو(مونتاژ),دنده ای,1385,کرج ,1150.0,0,165000,یک لکه رنگ,بنزینی,مشکی,داخل طوسی
959,پژو,207,دنده ای,1402,مشهد ,610.0,0,0,بدون رنگ,بنزینی,سفید,داخل مشکی
960,جک,S5,2.0 لیتر اتوماتیک,1398,تهران ,1100.0,1,26000,بدون رنگ,بنزینی,سفید,داخل مشکی
961,هیوندای,آزرا (گرنجور),6 سیلندر,1390,تهران ,1640.0,1,205000,یک لکه رنگ,بنزینی,مشکی,داخل مشکی
962,هیوندای,سوناتا,چهار سیلندر اتوماتیک,1389,قم ,,1,155000,بدون رنگ,بنزینی,مشکی,داخل مشکی
963,پراید,131,EX,1392,کرج ,,0,263000,گلگیر تعویض,بنزینی,آبی,داخل خاکستری
964,دنا,معمولی,دنده ای,1394,کرج ,425.0,0,200000,بدون رنگ,بنزینی,سفید,داخل مشکی
965,بنز,کلاس GLK,GLK350,1388,کرج ,3800.0,1,165000,بدون رنگ,بنزینی,تیتانیوم,داخل قهوه ای
966,ب ام و,Z4,28,1393,تهران ,3900.0,1,80000,بدون رنگ,بنزینی,خاکستری,داخل قرمز
967,ولوو,XC90,اینسکریپشن,1395,تهران ,6800.0,1,130000,بدون رنگ,بنزینی,نقره ای,داخل موکا
968,ب ام و,X4,28,1396,اصفهان ,,1,,بدون رنگ,بنزینی,مشکی,داخل موکا
969,پژو,پارس,دوگانه سوز,1389,شوط,,0,400000,چند لکه رنگ,دوگانه سوز,سفید,داخل مشکی
970,پژو,405,GLX دوگانه سوز,1398,نایین ,385.0,0,123000,بدون رنگ,دوگانه سوز,خاکستری,داخل خاکستری
971,شاهین,G دنده ای,دنده ای,1400,تهران ,,0,21000,بدون رنگ,بنزینی,قهوه ای,داخل مشکی
972,هیوندای,وراکروز,اتوماتیک,1389,تبریز,2320.0,1,210000,بدون رنگ,بنزینی,سفید,داخل مشکی
973,کیا,ریو (مونتاژ),دنده ای,1388,گرگان,300.0,0,180000,چند لکه رنگ,بنزینی,سفید,داخل خاکستری
974,رنو,ساندرو استپ وی,اتوماتیک,1397,تهران ,820.0,1,87000,بدون رنگ,بنزینی,سفید,داخل مشکی
975,پژو,206,تیپ 6,1387,تهران ,275.0,1,183000,گلگیر تعویض,بنزینی,خاکستری,داخل خاکستری
976,دانگ فنگ,H30 کراس,اتوماتیک,1397,تهران ,565.0,1,84000,یک لکه رنگ,بنزینی,خاکستری,داخل مشکی
977,فونیکس,تیگو 8 پرو,پرمیوم,1402,لنگرود,2280.0,1,0,بدون رنگ,بنزینی,مشکی,داخل مشکی
978,پژو,پارس,XU7,1388,تهران ,285.0,0,103000,بدون رنگ,بنزینی,نقره ای,داخل کرم
979,کیا,کادنزا,اتوماتیک,1392,تهران ,,1,120000,بدون رنگ,بنزینی,سفید صدفی,داخل مشکی
980,پراید,صندوق دار,دنده ای,1388,اسلام شهر,155.0,0,480000,یک لکه رنگ,بنزینی,نقره ای,داخل طوسی
981,هیوندای,سوناتا,چهار سیلندر اتوماتیک,1385,اصفهان ,730.0,1,240000,چند لکه رنگ,بنزینی,بژ,داخل مشکی
982,زامیاد,وانت نیسان,بنزین,1401,سرباز ,,0,12000,سوخته,بنزینی,آبی,داخل خاکستری
983,کیا,اپتیما,4 سیلندر GT لاین,1396,تهران ,2930.0,1,120000,یک لکه رنگ,بنزینی,سفید صدفی,داخل مشکی
984,آریسان,2,دنده ای,1402,یزد,385.0,0,0,بدون رنگ,دوگانه سوز,نقره ای,داخل مشکی
985,سمند,LX,XU7,1389,بانه ,225.0,0,300000,یک لکه رنگ,بنزینی,سفید,داخل خاکستری
986,هیوندای,توسان,2.4 لیتر,1392,همدان,1700.0,1,145000,بدون رنگ,بنزینی,سفید,داخل قهوه ای
987,کیا,سورنتو,4 سیلندر GT لاین,1397,تهران ,,1,28000,بدون رنگ,بنزینی,سفید صدفی,داخل مشکی
988,تویوتا,اریون,گرند,1389,تهران ,1480.0,1,200000,چند لکه رنگ,بنزینی,سفید صدفی,داخل کرم
989,هیوندای,آزرا (گرنجور),6 سیلندر,1391,تهران ,2070.0,1,220000,یک لکه رنگ,بنزینی,سفید,داخل مشکی
990,پژو,2008,اتوماتیک,1398,تهران ,1700.0,1,46000,بدون رنگ,بنزینی,سفید,داخل مشکی
991,پژو,206 SD,V8,1400,رباط کریم,475.0,0,56000,بدون رنگ,بنزینی,سفید,داخل مشکی
992,رنو,تندر 90,اتوماتیک,1395,تهران ,,1,94000,بدون رنگ,بنزینی,نقره ای,داخل نقره ای
993,سیتروئن,C3 (مونتاژ),اتوماتیک,1397,کرج ,1620.0,1,25000,بدون رنگ,بنزینی,سفید,داخل مشکی
994,پژو,207,پانوراما دنده ای,1401,تبریز ,,0,0,بدون رنگ,بنزینی,پوست پیازی,داخل مشکی
995,زامیاد,وانت نیسان,بنزین,1400,تهران ,,0,11500,بدون رنگ,بنزینی,آبی,داخل مشکی
996,پژو,پارس,XU7P,1402,داراب ,468.0,0,33000,بدون رنگ,بنزینی,سفید,داخل کرم
